Order_ID,Order_Date,Region,Country,Product_Category,Product_Name,Customer_Segment,Sales,Profit,Discount,Quantity,Ship_Mode,Customer_ID
1043,2023-05-08,West,USA,Technology,Smart Speaker,Home Office,99.99,29.99,0.10,3,Standard Class,CUST-043
1044,2023-05-10,Central,USA,Office Supplies,Highlighters,Consumer,8.99,2.70,0.00,20,Standard Class,CUST-044
1045,2023-05-12,South,USA,Technology,VR Headset,Corporate,499.99,149.99,0.10,1,First Class,CUST-045
1046,2023-05-15,East,USA,Furniture,Study Desk,Consumer,299.99,44.99,0.10,2,Second Class,CUST-046
1047,2023-05-18,West,USA,Technology,Printer Laser,Home Office,349.99,104.99,0.05,1,Standard Class,CUST-047
1048,2023-05-20,Central,USA,Office Supplies,Marker Set,Consumer,11.99,3.60,0.00,15,Standard Class,CUST-048
1049,2023-05-22,South,USA,Technology,NAS Storage,Corporate,399.99,119.99,0.05,1,First Class,CUST-049
1050,2023-05-25,East,USA,Furniture,Sofa Chair,Consumer,449.99,67.50,0.15,1,Second Class,CUST-050
1051,2023-06-02,West,USA,Technology,Gaming Chair,Home Office,399.99,119.99,0.10,1,Standard Class,CUST-051
1052,2023-06-05,Central,USA,Office Supplies,Notebook Set,Consumer,24.99,7.50,0.00,8,Standard Class,CUST-052
1053,2023-06-08,South,USA,Technology,Curved Monitor,Corporate,649.99,194.99,0.05,1,First Class,CUST-053
1054,2023-06-10,East,USA,Furniture,Ottoman,Consumer,149.99,22.50,0.10,2,Second Class,CUST-054
1055,2023-06-12,West,USA,Technology,Ring Light,Home Office,59.99,18.00,0.00,3,Standard Class,CUST-055
1056,2023-06-15,Central,USA,Office Supplies,File Folders,Consumer,14.99,4.49,0.00,25,Standard Class,CUST-056
1057,2023-06-18,South,USA,Technology,Raspberry Pi,Corporate,69.99,20.99,0.05,5,First Class,CUST-057
1058,2023-06-20,East,USA,Furniture,Night Stand,Consumer,119.99,18.00,0.10,2,Second Class,CUST-058
1059,2023-06-22,West,USA,Technology,Charging Pad,Home Office,29.99,9.00,0.00,6,Standard Class,CUST-059
1060,2023-06-25,Central,USA,Office Supplies,Rubber Bands,Consumer,3.99,1.20,0.00,30,Standard Class,CUST-060
1061,2023-07-02,South,USA,Technology,MacBook Air,Corporate,1099.99,329.99,0.05,2,First Class,CUST-061
1062,2023-07-05,East,USA,Furniture,Dresser,Consumer,379.99,56.99,0.15,1,Second Class,CUST-062
1063,2023-07-08,West,USA,Technology,iPhone 15,Home Office,999.99,299.99,0.10,1,Standard Class,CUST-063
1064,2023-07-10,Central,USA,Office Supplies,Push Pins,Consumer,2.99,0.90,0.00,50,Standard Class,CUST-064
1065,2023-07-12,South,USA,Technology,Surface Pro,Corporate,1299.99,389.99,0.05,1,First Class,CUST-065
1066,2023-07-15,East,USA,Furniture,Recliner,Consumer,599.99,90.00,0.20,1,Second Class,CUST-066
1067,2023-07-18,West,USA,Technology,Pixel Phone,Home Office,699.99,209.99,0.10,1,Standard Class,CUST-067
1068,2023-07-20,Central,USA,Office Supplies,Correction Fluid,Consumer,4.99,1.50,0.00,20,Standard Class,CUST-068
1069,2023-07-22,South,USA,Technology,Graphics Card,Corporate,799.99,239.99,0.05,1,First Class,CUST-069
1070,2023-07-25,East,USA,Furniture,Bench Seat,Consumer,199.99,30.00,0.10,2,Second Class,CUST-070
1071,2023-08-02,West,USA,Technology,CPU Processor,Home Office,349.99,104.99,0.00,1,Standard Class,CUST-071
1072,2023-08-05,Central,USA,Office Supplies,Envelope Pack,Consumer,9.99,3.00,0.00,15,Standard Class,CUST-072
1073,2023-08-08,South,USA,Technology,RAM DDR5,Corporate,149.99,44.99,0.05,3,First Class,CUST-073
1074,2023-08-10,East,USA,Furniture,Plant Stand,Consumer,49.99,7.50,0.10,4,Second Class,CUST-074
1075,2023-08-12,West,USA,Technology,Motherboard,Home Office,299.99,89.99,0.00,1,Standard Class,CUST-075
1076,2023-08-15,Central,USA,Office Supplies,Staple Remover,Consumer,5.99,1.80,0.00,18,Standard Class,CUST-076
1077,2023-08-18,South,USA,Technology,Power Supply,Corporate,129.99,38.99,0.05,2,First Class,CUST-077
1078,2023-08-20,East,USA,Furniture,TV Cabinet,Consumer,449.99,67.50,0.15,1,Second Class,CUST-078
1079,2023-08-22,West,USA,Technology,Gaming Mouse,Home Office,79.99,23.99,0.10,2,Standard Class,CUST-079
1080,2023-08-25,Central,USA,Office Supplies,Document Tray,Consumer,19.99,6.00,0.00,10,Standard Class,CUST-080
1081,2023-09-02,South,USA,Technology,Smart TV 55",Corporate,899.99,269.99,0.10,1,First Class,CUST-081
1082,2023-09-05,East,USA,Furniture,Corner Desk,Consumer,499.99,74.99,0.20,1,Second Class,CUST-082
1083,2023-09-08,West,USA,Technology,Sound Bar,Home Office,199.99,59.99,0.05,1,Standard Class,CUST-083
1084,2023-09-10,Central,USA,Office Supplies,Ink Cartridge,Consumer,34.99,10.49,0.00,6,Standard Class,CUST-084
1085,2023-09-12,South,USA,Technology,Projector HD,Corporate,699.99,209.99,0.05,1,First Class,CUST-085
1086,2023-09-15,East,USA,Furniture,Mirror Wall,Consumer,149.99,22.50,0.10,2,Second Class,CUST-086
1087,2023-09-18,West,USA,Technology,Smart Doorbell,Home Office,179.99,53.99,0.00,1,Standard Class,CUST-087
1088,2023-09-20,Central,USA,Office Supplies,Rubber Stamp,Consumer,12.99,3.89,0.00,8,Standard Class,CUST-088
1089,2023-09-22,South,USA,Technology,Security Cam,Corporate,149.99,44.99,0.05,3,First Class,CUST-089
1090,2023-09-25,East,USA,Furniture,Coffee Chair,Consumer,279.99,41.99,0.15,2,Second Class,CUST-090
1091,2023-10-02,West,USA,Technology,Smart Lock,Home Office,129.99,38.99,0.00,1,Standard Class,CUST-091
1092,2023-10-05,Central,USA,Office Supplies,White Board,Consumer,59.99,18.00,0.05,3,Standard Class,CUST-092
1093,2023-10-08,South,USA,Technology,Robot Vacuum,Corporate,399.99,119.99,0.10,1,First Class,CUST-093
1094,2023-10-10,East,USA,Furniture,Patio Set,Consumer,849.99,127.50,0.20,1,Second Class,CUST-094
1095,2023-10-12,West,USA,Technology,Air Purifier,Home Office,249.99,74.99,0.05,1,Standard Class,CUST-095
1096,2023-10-15,Central,USA,Office Supplies,Clipboard,Consumer,8.99,2.70,0.00,12,Standard Class,CUST-096
1097,2023-10-18,South,USA,Technology,Smart Thermostat,Corporate,199.99,59.99,0.05,2,First Class,CUST-097
1098,2023-10-20,East,USA,Furniture,Shoe Rack,Consumer,79.99,12.00,0.10,3,Second Class,CUST-098
1099,2023-10-22,West,USA,Technology,Fitness Tracker,Home Office,149.99,44.99,0.10,2,Standard Class,CUST-099
1100,2023-10-25,Central,USA,Office Supplies,Paper Clips,Consumer,2.99,0.90,0.00,40,Standard Class,CUST-100
1101,2023-11-02,South,USA,Technology,Laptop Gaming,Corporate,1799.99,539.99,0.05,1,First Class,CUST-101
1102,2023-11-05,East,USA,Furniture,Bar Stool Set,Consumer,229.99,34.50,0.10,2,Second Class,CUST-102
1103,2023-11-08,West,USA,Technology,E-Reader,Home Office,129.99,38.99,0.05,1,Standard Class,CUST-103
1104,2023-11-10,Central,USA,Office Supplies,Label Maker,Consumer,39.99,12.00,0.00,4,Standard Class,CUST-104
1105,2023-11-12,South,USA,Technology,Steam Deck,Corporate,549.99,164.99,0.10,1,First Class,CUST-105
1106,2023-11-15,East,USA,Furniture,Futon,Consumer,399.99,60.00,0.15,1,Second Class,CUST-106
1107,2023-11-18,West,USA,Technology,Action Camera,Home Office,349.99,104.99,0.05,1,Standard Class,CUST-107
1108,2023-11-20,Central,USA,Office Supplies,Desk Organizer,Consumer,22.99,6.89,0.00,7,Standard Class,CUST-108
1109,2023-11-22,South,USA,Technology,Streaming Box,Corporate,99.99,29.99,0.05,3,First Class,CUST-109
1110,2023-11-25,East,USA,Furniture,Hammock,Consumer,149.99,22.50,0.10,1,Second Class,CUST-110
1111,2023-12-02,West,USA,Technology,Mesh Network,Home Office,299.99,89.99,0.05,1,Standard Class,CUST-111
1112,2023-12-05,Central,USA,Office Supplies,Scissors Pro,Consumer,16.99,5.10,0.00,9,Standard Class,CUST-112
1113,2023-12-08,South,USA,Technology,UPS Battery,Corporate,179.99,53.99,0.05,2,First Class,CUST-113
1114,2023-12-10,East,USA,Furniture,Garden Chair,Consumer,99.99,15.00,0.10,4,Second Class,CUST-114
1115,2023-12-12,West,USA,Technology,Monitor 32",Home Office,549.99,164.99,0.10,1,Standard Class,CUST-115
1116,2023-12-15,Central,USA,Office Supplies,Pen Holder,Consumer,11.99,3.60,0.00,11,Standard Class,CUST-116
1117,2023-12-18,South,USA,Technology,Capture Card,Corporate,149.99,44.99,0.05,2,First Class,CUST-117
1118,2023-12-20,East,USA,Furniture,Reading Lamp,Consumer,69.99,10.50,0.10,3,Second Class,CUST-118
1119,2023-12-22,West,USA,Technology,Electric Piano,Home Office,899.99,269.99,0.15,1,Standard Class,CUST-119
1120,2023-12-28,Central,USA,Office Supplies,Shredder,Consumer,99.99,29.99,0.05,2,Standard Class,CUST-120
1121,2023-12-30,South,USA,Technology,Server Rack,Corporate,4999.99,1499.99,0.00,1,First Class,CUST-121
1122,2023-03-14,East,USA,Technology,Laptop Pro X1,Consumer,,389.99,0.05,1,Standard Class,CUST-122
1123,2023-05-22,West,USA,Furniture,Executive Chair,Corporate,549.50,,0.10,2,Second Class,CUST-123
1124,2023-07-31,Central,USA,Office Supplies,Stapler Pack,Home Office,24.99,7.50,0.00,,First Class,CUST-124
1125,2023-09-14,South,USA,Technology,Wireless Mouse,Consumer,45.99,13.80,0.05,3,,CUST-125
1126,2023-11-23,East,USA,Furniture,Standing Desk,Corporate,899.00,134.85,0.15,1,Second Class,CUST-001
1127,2023-01-05,West,USA,Technology,Laptop Pro X1,Corporate,1299.99,389.99,0.05,2,Standard Class,CUST-001
1128,2023-06-10,Central,USA,Technology,Laptop Pro X1,Corporate,1299.99,389.99,0.05,2,Standard Class,CUST-001
1129,2023-08-22,South,USA,Technology,Gaming PC,Corporate,15999.99,4799.99,0.00,1,First Class,CUST-041
1130,2023-10-05,East,USA,Furniture,Luxury Sofa,Consumer,9999.99,2999.99,0.25,1,First Class,CUST-099
